review_date,count,product_category
2000-09-01,1,apparel
2000-10-01,4,apparel
2000-11-01,1,apparel
2001-10-01,4,apparel
2001-12-01,1,apparel
2002-01-01,8,apparel
2002-02-01,20,apparel
2002-03-01,2,apparel
2002-04-01,1,apparel
2002-05-01,1,apparel
2002-06-01,1,apparel
2002-08-01,10,apparel
2002-09-01,22,apparel
2002-10-01,67,apparel
2002-11-01,442,apparel
2002-12-01,333,apparel
2003-01-01,195,apparel
2003-02-01,133,apparel
2003-03-01,153,apparel
2003-04-01,145,apparel
2003-05-01,140,apparel
2003-06-01,149,apparel
2003-07-01,112,apparel
2003-08-01,161,apparel
2003-09-01,182,apparel
2003-10-01,246,apparel
2003-11-01,252,apparel
2003-12-01,279,apparel
2004-01-01,195,apparel
2004-02-01,189,apparel
2004-03-01,188,apparel
2004-04-01,222,apparel
2004-05-01,236,apparel
2004-06-01,216,apparel
2004-07-01,261,apparel
2004-08-01,195,apparel
2004-09-01,146,apparel
2004-10-01,136,apparel
2004-11-01,142,apparel
2004-12-01,231,apparel
2005-01-01,263,apparel
2005-02-01,196,apparel
2005-03-01,200,apparel
2005-04-01,195,apparel
2005-05-01,221,apparel
2005-06-01,202,apparel
2005-07-01,292,apparel
2005-08-01,304,apparel
2005-09-01,460,apparel
2005-10-01,395,apparel
2005-11-01,274,apparel
2005-12-01,531,apparel
2006-01-01,573,apparel
2006-02-01,599,apparel
2006-03-01,732,apparel
2006-04-01,159,apparel
2006-05-01,310,apparel
2006-06-01,398,apparel
2006-07-01,673,apparel
2006-08-01,937,apparel
2006-09-01,373,apparel
2006-10-01,403,apparel
2006-11-01,1258,apparel
2006-12-01,878,apparel
2007-01-01,4637,apparel
2007-02-01,1745,apparel
2007-03-01,2208,apparel
2007-04-01,1139,apparel
2007-05-01,2404,apparel
2007-06-01,1444,apparel
2007-07-01,1602,apparel
2007-08-01,1828,apparel
2007-09-01,1816,apparel
2007-10-01,2129,apparel
2007-11-01,2158,apparel
2007-12-01,2876,apparel
2008-01-01,3776,apparel
2008-02-01,2682,apparel
2008-03-01,2248,apparel
2008-04-01,2376,apparel
2008-05-01,2120,apparel
2008-06-01,2856,apparel
2008-07-01,2497,apparel
2008-08-01,2427,apparel
2008-09-01,2681,apparel
2008-10-01,3137,apparel
2008-11-01,3273,apparel
2008-12-01,3688,apparel
2009-01-01,5192,apparel
2009-02-01,3545,apparel
2009-03-01,3147,apparel
2009-04-01,2708,apparel
2009-05-01,3685,apparel
2009-06-01,3136,apparel
2009-07-01,2812,apparel
2009-08-01,2771,apparel
2009-09-01,3447,apparel
2009-10-01,3842,apparel
2009-11-01,4038,apparel
2009-12-01,4644,apparel
2010-01-01,5086,apparel
2010-02-01,5159,apparel
2010-03-01,4075,apparel
2010-04-01,3395,apparel
2010-05-01,3244,apparel
2010-06-01,3418,apparel
2010-07-01,3999,apparel
2010-08-01,4137,apparel
2010-09-01,4606,apparel
2010-10-01,5928,apparel
2010-11-01,6484,apparel
2010-12-01,7801,apparel
2011-01-01,8818,apparel
2011-02-01,6496,apparel
2011-03-01,6879,apparel
2011-04-01,6141,apparel
2011-05-01,6553,apparel
2011-06-01,6876,apparel
2011-07-01,7680,apparel
2011-08-01,8536,apparel
2011-09-01,9623,apparel
2011-10-01,12589,apparel
2011-11-01,12568,apparel
2011-12-01,16564,apparel
2012-01-01,17479,apparel
2012-02-01,12902,apparel
2012-03-01,12996,apparel
2012-04-01,11974,apparel
2012-05-01,12837,apparel
2012-06-01,13341,apparel
2012-07-01,14744,apparel
2012-08-01,15539,apparel
2012-09-01,17467,apparel
2012-10-01,33801,apparel
2012-11-01,36175,apparel
2012-12-01,74439,apparel
2013-01-01,76110,apparel
2013-02-01,58362,apparel
2013-03-01,59180,apparel
2013-04-01,56455,apparel
2013-05-01,57214,apparel
2013-06-01,55430,apparel
2013-07-01,59002,apparel
2013-08-01,64508,apparel
2013-09-01,61935,apparel
2013-10-01,86321,apparel
2013-11-01,89765,apparel
2013-12-01,130531,apparel
2014-01-01,136025,apparel
2014-02-01,106563,apparel
2014-03-01,125220,apparel
2014-04-01,108050,apparel
2014-05-01,109212,apparel
2014-06-01,111740,apparel
2014-07-01,184681,apparel
2014-08-01,182109,apparel
2014-09-01,201934,apparel
2014-10-01,247567,apparel
2014-11-01,262975,apparel
2014-12-01,346379,apparel
2015-01-01,334738,apparel
2015-02-01,287877,apparel
2015-03-01,310257,apparel
